X,Y,u_1,d_u_x
-5358561.879190494,-3446078.2908817427,-133327232.85598315,14.975155094686455
-5731634.326009241,-4285373.06654982,-120204552.085345,12.67295004230101
-4814446.058807039,-4172619.09917948,-133358809.02876572,13.426117304574475
-5067295.309627312,-5059023.757434649,-120170140.24968624,11.155487178996916
-4172602.84869511,-4814460.142846906,-133358846.52227087,11.610458069974376
-4296386.097164125,-5726980.486791603,-120159784.23118736,9.43059140077036
-3446060.667615409,-5358573.212629836,-133327319.8475098,9.56794658490223
-5793906.131279374,-2649583.503481875,-133274029.14871956,16.22224309666484
-6276949.549947667,-3425309.906853663,-120226555.20640996,13.94352929993242
-3435130.3204546613,-6274320.747548755,-120189342.86985756,7.531409945538724
-2649566.876974833,-5793913.734638947,-133274025.50697029,7.341137908130638
-6688080.664250274,-2496550.9912693263,-120323996.66593504,14.944055340128443
-6111642.695164017,-1799295.5751205264,-133215989.93163487,17.137562477970217
-2503613.3600811083,-6695230.578462668,-120178548.91089416,5.48352257918166
-1799289.6346175023,-6111644.444072153,-133215893.13231865,4.974797081617332
-6970268.82570779,-1522052.8264801968,-120309915.04681148,15.621857220053904
-6305528.574424519,-911016.1343883468,-133171338.42133597,17.699261390367948
-911015.3001611124,-6305528.694952736,-133171146.4533254,2.5103218130935794
-1522029.456932622,-6978523.841007709,-120181060.28532729,3.333141451009127
-7117735.327776819,-514661.4180118383,-120231424.86358824,15.959742657009912
-6371000.0,0.0,-133153550.59939618,17.87980637299419
-512052.55045635765,-7118868.797344114,-120216227.854629,1.1231019714631834
0.0,-6371000.0,-133153592.04852894,0.0005031117460709167
-6305528.694952736,911015.3001611124,-133171211.9807486,17.698568817608145
-7125173.840930748,506888.8546095149,-120121517.47723693,15.945498223976315
505437.5464353872,-7119402.286732383,-120215251.13203964,-1.1080734613072254
911016.1343883468,-6305528.574424519,-133171295.23549908,-2.5105486435933617
-6111644.444072153,1799289.6346175023,-133215980.88736103,17.13735857220048
-6981562.984346005,1515135.780903532,-120156651.27695058,15.605360162671074
1514084.5368065191,-6971536.289521712,-120316660.8348264,-3.3232898184901907
1799295.5751205264,-6111642.695164017,-133215863.30995657,-4.974959720978618
-5793913.734638947,2649566.876974833,-133273953.12118185,16.222239096394194
-6694879.565753646,2489959.0392853874,-120258579.6352806,14.94295432245656
