X,Y,u_1,-du_dx
-4504979.036347012,-4504975.569531309,-46526375.667335264,9.81639400467894
-4836623.20372639,-5433483.525379616,-34966359.140903264,7.559253907749501
-3744782.1562002497,-5154245.590055271,-46269162.61985875,7.844783891526693
-3852330.437342981,-6107334.014886096,-34836563.40825912,5.714249301596267
-2892376.393599999,-5676601.077911453,-45591341.73990791,5.826373904683325
-5154248.471857141,-3744778.189740795,-46268971.35268776,11.658852295145612
-5639083.254239787,-4662474.875848762,-34369523.53730028,9.26970714873951
-5676603.303742463,-2892372.025162074,-45592063.28925686,13.262471969705963
-6278505.517306188,-3670123.035646404,-33955697.854762115,11.108850987905
-2755390.2691347552,-6627909.123326832,-34000976.108676784,3.877061353904707
-1968750.842154567,-6059179.905029697,-44745561.53687345,3.82726056060158
-1705894.9298837334,-7027106.321711828,-31966231.09360004,2.216352428760304
-996646.8917744076,-6292561.956239797,-44053000.14269018,1.883317076594932
-6059181.420083258,-1968746.1793024065,-44745837.77103842,14.519672131679002
-6718225.682095624,-2698140.331380321,-33085242.14214349,12.538744418804267
-6292562.511237522,-996643.3876608724,-44052960.45199443,15.32898230476009
-7040827.586540122,-1695890.7095423662,-31802147.61941919,13.563209961130458
0.0,-6371000.0,-43786205.63074264,-0.0005669390471694282
-566415.1878715147,-7225128.290263474,-30871615.6011759,0.7064204514409386
-6371000.0,0.0,-43786275.90637106,15.603274583128057
-7246602.116726726,-564375.8961899508,-30569234.01490084,14.141969342872189
-6292561.956239797,996646.8917744076,-44052773.98403084,15.330014562280198
-7217067.737526542,527755.7563224781,-31012371.442734264,14.19309777891736
563035.1266813596,-7249499.9940267475,-30529265.130561348,-0.6942015541804614
996643.3876608724,-6292562.511237522,-44053079.01736055,-1.88345858351688
-6059179.905029697,1968750.842154567,-44745534.87113421,14.522110087553992
-7024401.052204056,1693366.706916576,-32030614.682651635,13.588953911326266
1968746.1793024065,-6059181.420083258,-44745654.31279648,-3.826983402087
1692545.6202083346,-7028070.262752887,-31982526.16017091,-2.2002300589600616
-6622271.13352784,2748984.719699121,-34096516.927408464,12.550406706440585
-5676601.077911453,2892376.393599999,-45591309.40389189,13.266286716493616
2753440.677193846,-6705140.282320415,-33043583.088447776,-3.747434778649303
2892372.025162074,-5676603.303742463,-45591355.819446445,-5.823153142083967
-5154245.590055271,3744782.1562002497,-46269062.92350192,11.655972422570152
-6109044.368598336,3851076.4898222,-34825167.44908414,10.844440289563638
3744778.189740795,-5154248.471857141,-46269356.10284319,-7.835025592052776
3811526.978065673,-6188821.83760581,-34180973.04519131,-5.51645004488104
-4504975.569531309,4504979.036347012,-46526260.9677343,9.809469434566788
-5441445.48360157,4848200.352937433,-34807760.83086888,8.88485166620338
4655154.42931764,-5667490.72476034,-34157479.953359924,-6.987485478664738
