cln1x,Height
7072086.263960032,-45685969.937658034
7091115.971596397,-45528621.97264874
7097451.616530766,-45476411.94400416
7133990.751936338,-45177025.42231152
7143836.924381431,-45096851.64928078
7185901.169154198,-44756736.46298927
7207484.316399935,-44583732.4458743
7279064.520663458,-44017292.22084703
7298404.30925772,-43866180.91142142
7320240.091734372,-43696564.18563064
7452921.750460148,-42686178.06697811
7563415.5463059405,-41871311.62494708
7625819.095762049,-41421712.88446835
7663335.87903924,-41155063.11460334
7763046.586746267,-40459684.382013544
7804826.380492049,-40174065.2770684
7814104.092667345,-40111100.96418243
7879281.757326975,-39672391.18852468
8012312.944127343,-38797914.8170999
8046895.844772709,-38575191.67523086
8132607.419696948,-38031379.92361587
8154142.916219881,-37896579.71061275
8291820.184758984,-37048068.21916507
8324383.85502913,-36851536.58315847
8343069.515345263,-36739596.06833066
8460163.011353359,-36049749.99674553
8483213.992004039,-35916309.84209018
8547232.57072737,-35549788.49357701
8621951.995865762,-35129584.0210459
8684248.442084016,-34784912.12009721
8798352.029541584,-34165143.6530607
8827834.84998941,-34007431.084868014
8842969.788564662,-33926856.87739105
8897492.834903557,-33638768.91240636
8913303.983838879,-33555863.83476967
8917922.995744769,-33531698.350928158
8984307.56040434,-33187093.89421697
8998586.34215987,-33113631.13488377
9043335.96416031,-32884889.433772042
9259393.997126665,-31812278.49923981
9386402.447245441,-31213629.165340394
9630761.086940005,-30098101.615589216
9773447.078789938,-29468781.38387706
10207560.296794554,-27649883.339071155
10345339.024643647,-27102687.318118002
10445949.243518932,-26712265.84022607
10625938.475074714,-26033095.085497163
10657064.755906561,-25919040.670007374
10777431.27831466,-25485841.35672643
10923114.088025738,-24978221.72061341
11040049.948426317,-24583994.733411096
11043491.330623945,-24572571.188057564
11336181.579536045,-23606157.7748851
11351573.72572889,-23556429.192651417
11434712.058068018,-23290520.005710695
11644653.65199863,-22634955.398222342
11667913.51504641,-22563726.735611957
11794980.290179428,-22179549.849043507
12026276.176586227,-21501678.649613783
12161250.175744878,-21118887.423125852
12269671.529750684,-20818224.678198833
