cln1x,Height
0.0,0.0009449481296606166
191570.80848194897,0.6974681103279501
251355.3399671731,0.9146157555623375
298065.78494036425,1.0842760821015531
322668.8496030613,1.1736386216135983
383141.61696389795,1.3932860572794112
471509.1992358092,1.7142522324537541
481725.03121526993,1.7513578817469337
502710.6799343462,1.8275813477482288
538334.2152860032,1.9569721219897405
574712.425445847,2.0307450518717474
615557.909137027,2.1865422513762525
655556.0433452473,2.3391074001246466
684915.3827988675,2.451092923438736
690589.0910244196,2.4727341863756394
789808.2836305643,2.8511866111774893
886073.5886339613,3.2183720028934317
937778.021672623,3.4155885649568347
1004904.1418152817,3.6716281704833023
1219999.999999999,4.514889077190105
1350597.919575891,4.747118406686766
1372506.5232084459,4.797338424396187
1442306.0716021166,4.9573365062104635
1481195.8391517827,5.046481613211148
1514263.9617843174,5.122282049061532
1520777.544791542,5.137212815963014
1525013.0464168927,5.146921648629899
1536577.205176082,5.1734296026474595
1611793.7587276748,5.369610066627189
1696810.8637897857,5.614606888054219
1703862.4329750957,5.634927646273546
1748268.4575214123,5.762894069713948
1804837.0694094363,5.925909854537277
1833471.793320087,6.008427558891249
1920601.6108530068,6.25951265913649
1953321.9090197864,6.353803908422734
1993502.5064370171,6.470529928730109
2123440.243124188,6.844293282301578
2130962.964453316,6.8659322428041065
2176706.864933057,6.931318463197314
2189396.7381112166,6.971405569059286
2335300.574603327,7.432313448674499
2573557.514668831,8.184963301409006
2611137.9099553702,8.303679167441455
2834698.3690556064,9.009903072494517
2867003.375686896,9.111954070366593
3026778.757334414,9.616681938669345
3045568.9549776837,9.676039871685589
3479999.999999997,11.253530019625472
3698667.0795286745,10.628186896095634
3787231.253405997,10.497249085786537
3852292.4056349043,10.401059346345782
3917334.1590573494,10.304898287093962
4009913.2319797124,10.16802464442106
4049188.0165941725,10.109958791462265
4094462.506811997,10.04302266647571
4136001.2385860253,9.970333393389907
4185544.0771621126,9.976047060022605
4190152.306287244,9.976578516954454
4200208.773712576,9.977738307229366
4215699.160701382,9.97952477949874
4330898.862260545,9.992810507765654
4474000.825724017,10.009314142543381
4540173.819948247,10.016945728458722
4667772.038581054,10.031661350436464
4675104.386856286,10.032506974039908
4812000.412862007,10.048294891696882
5149999.999999995,10.102867298465352
5361212.215752551,10.067235288920035
5421055.006440537,10.066012550221457
5423772.803134606,10.065957018800646
5486844.669995295,10.064668301955804
5544946.210672354,10.063481141373595
5572424.431505105,10.062919692223339
5669901.620384894,10.060927988131674
5692110.012881082,10.060474214826147
5716300.400187032,10.059979944382677
5783636.6472576605,10.06751459154799
5841698.405316984,10.088441140703146
5862556.954407879,10.095958953932424
5873668.80071935,10.099963872243812
5881706.49671379,10.10286080898744
5965757.764838439,10.133154466168229
6039550.285564243,10.159750677923867
6096278.477203937,10.180196584670625
6147878.882419215,10.198794340788453
6329999.9999999935,10.260721042402277
6344427.693532272,10.249331575387451
6344429.905917839,10.249329683807218
6344430.008507235,10.249329596091483
6344432.1735763885,10.249327744917522
6358094.466925719,10.23662946920758
6358096.566171859,10.236627346634807
6358096.663724632,10.236627247996287
6358098.695748643,10.236625193334671
6370999.9999999935,10.198774747601462
6564640.528645424,9.652681792249105
6599740.518476784,9.55368188839756
6667424.583835376,9.362778244408617
6710224.547167567,9.242060481380946
6758281.057290854,9.10651657084126
6822200.765783536,8.926230336417902
6828481.036953575,8.908516763138138
6862348.907524131,8.812992065089816
6951921.585936285,8.600183063828268
7002830.256276538,8.472832029527183
7012219.364979375,8.449344621655868
7072086.263960032,8.299584051312424
7091115.971596397,8.247640344038697
7097451.616530766,8.233721596352131
7133990.751936338,8.153448946659172
7143836.924381431,8.13181793807816
7185901.169154198,8.039407202362465
7207484.316399935,7.991991290658576
7279064.520663458,7.834737086419251
7298404.30925772,7.792249598477111
7320240.091734372,7.746252092260804
7452921.750460148,7.483978345855615
7563415.5463059405,7.265563667675412
7625819.095762049,7.143981939926272
7663335.87903924,7.070977156906386
7763046.586746267,6.876947766723239
7804826.380492049,6.795647492270339
7814104.092667345,6.77759377590363
7879281.757326975,6.679187364444541
8012312.944127343,6.467750469569628
8046895.844772709,6.412785154262077
8132607.419696948,6.276557028416569
8154142.916219881,6.266355856798899
8291820.184758984,6.059738355430449
8324383.85502913,6.004383832338911
8343069.515345263,5.977051443049563
8460163.011353359,5.805773309871618
8483213.992004039,5.7720555623590215
8547232.57072737,5.678412593054584
8621951.995865762,5.5691169952107105
8684248.442084016,5.4970518788259985
8798352.029541584,5.36620809127777
8827834.84998941,5.332399830021897
8842969.788564662,5.315044436281697
8897492.834903557,5.252522283818239
8913303.983838879,5.234391472524022
8917922.995744769,5.229094802840228
8984307.56040434,5.152945081634682
8998586.34215987,5.136834619599531
9043335.96416031,5.0863445218678685
9259393.997126665,4.842570592334515
9386402.447245441,4.662729247336496
9630761.086940005,4.467519236167303
9773447.078789938,4.355669304787044
10207560.296794554,4.024163279746551
10345339.024643647,3.918949993188892
10445949.243518932,3.842120050320287
10625938.475074714,3.7046731534545114
10657064.755906561,3.650842322356838
10777431.27831466,3.5471609864402556
10923114.088025738,3.421672702582449
11040049.948426317,3.3209464709000045
11043491.330623945,3.3179821325066423
11336181.579536045,3.2343262865230775
11351573.72572889,3.2198939152095827
11434712.058068018,3.1768951340596083
11644653.65199863,3.068314261702455
11667913.51504641,3.0562843624654747
11794980.290179428,2.9905659832094202
12026276.176586227,2.8709407643641707
12161250.175744878,2.80113280349376
12269671.529750684,2.681603542119621
12742000.0,2.5533140156534384
